Model,MD5,Accel,batchsize,avg_latency(ms),min_latency(ms),max_latency(ms),run_id
resnest14.onnx,4b8c40726d91644127d98c6633f8a993,onnxruntime_gpu_ampere,2,51.82,42.56,163.39,resnest14_ampere_2_stats.json
resnest14.onnx,4b8c40726d91644127d98c6633f8a993,onnxruntime_gpu_ampere,4,85.97,76.7,222.96,resnest14_ampere_4_stats.json
resnest14.onnx,4b8c40726d91644127d98c6633f8a993,onnxruntime_gpu_ampere,8,138.49,125.78,308.97,resnest14_ampere_8_stats.json
resnest26.onnx,06f46fd9c01026c0274758956beb74c9,onnxruntime_gpu_ampere,1,33.01,26.47,63.63,resnest26_ampere_1_stats.json
resnest26.onnx,06f46fd9c01026c0274758956beb74c9,onnxruntime_gpu_ampere,2,55.9,43.85,179.6,resnest26_ampere_2_stats.json
resnest26.onnx,06f46fd9c01026c0274758956beb74c9,onnxruntime_gpu_ampere,4,92.98,80.05,274.56,resnest26_ampere_4_stats.json
resnest26.onnx,06f46fd9c01026c0274758956beb74c9,onnxruntime_gpu_ampere,8,147.66,130.06,389.07,resnest26_ampere_8_stats.json
resnest269.onnx,4a244763f71435935df12beeb2826280,onnxruntime_gpu_ampere,1,86.39,59.59,130.88,resnest269_ampere_1_stats.json
resnest269.onnx,4a244763f71435935df12beeb2826280,onnxruntime_gpu_ampere,2,140.02,78.2,844.69,resnest269_ampere_2_stats.json
resnest269.onnx,4a244763f71435935df12beeb2826280,onnxruntime_gpu_ampere,4,182,114.28,954.21,resnest269_ampere_4_stats.json
resnest269.onnx,4a244763f71435935df12beeb2826280,onnxruntime_gpu_ampere,8,249.51,182.12,1299.19,resnest269_ampere_8_stats.json
resnest50.onnx,65b9c75afc3062aa2f09fdb2f506dfdb,onnxruntime_gpu_ampere,1,41,32.46,74.25,resnest50_ampere_1_stats.json
resnest50.onnx,65b9c75afc3062aa2f09fdb2f506dfdb,onnxruntime_gpu_ampere,2,68.29,53.77,276.36,resnest50_ampere_2_stats.json
resnest50.onnx,65b9c75afc3062aa2f09fdb2f506dfdb,onnxruntime_gpu_ampere,4,104.59,86.64,367.57,resnest50_ampere_4_stats.json
resnest50.onnx,65b9c75afc3062aa2f09fdb2f506dfdb,onnxruntime_gpu_ampere,8,161.27,133.15,541.99,resnest50_ampere_8_stats.json
resnet101_v1.onnx,ea1e76d1a6c8153a2ffdf042f04ffa47,onnxruntime_gpu_ampere,1,40.4,31.7,75.56,resnet101-v1_ampere_1_stats.json
resnet101_v1.onnx,ea1e76d1a6c8153a2ffdf042f04ffa47,onnxruntime_gpu_ampere,2,71.31,49.96,350.69,resnet101-v1_ampere_2_stats.json
resnet101_v1.onnx,ea1e76d1a6c8153a2ffdf042f04ffa47,onnxruntime_gpu_ampere,4,107.46,80.81,434.5,resnet101-v1_ampere_4_stats.json
resnet101_v1.onnx,ea1e76d1a6c8153a2ffdf042f04ffa47,onnxruntime_gpu_ampere,8,162.87,135.88,588.89,resnet101-v1_ampere_8_stats.json
resnet101_v1.onnx,ea1e76d1a6c8153a2ffdf042f04ffa47,onnxruntime_gpu_pascal,1,34.23,30.59,89.94,resnet101-v1_pascal_1_stats.json
resnet101_v1.onnx,ea1e76d1a6c8153a2ffdf042f04ffa47,onnxruntime_gpu_pascal,2,60.61,48.15,271.37,resnet101-v1_pascal_2_stats.json
resnet101_v1.onnx,ea1e76d1a6c8153a2ffdf042f04ffa47,onnxruntime_gpu_pascal,4,98.89,83.74,338.18,resnet101-v1_pascal_4_stats.json
resnet101_v1.onnx,ea1e76d1a6c8153a2ffdf042f04ffa47,onnxruntime_gpu_pascal,8,159.99,140.76,458.07,resnet101-v1_pascal_8_stats.json
